timestamp,starfruit_positions,amethyst_positions,starfruit_pnl,amethyst_pnl
0,0,0,0,0
100,0,0,0,0
200,0,0,0,0
300,0,0,0,0
400,0,3,0,0
500,0,3,0,-9
600,0,3,0,-9
700,0,3,0,0
800,0,3,0,-6
900,0,3,0,-9
1000,0,2,0,12
1100,0,2,0,4
1200,0,2,0,4
1300,0,2,0,8
1400,0,5,0,-2
1500,0,5,0,-6
1600,0,5,0,-6
1700,0,5,0,-11
1800,0,5,0,4
1900,0,5,0,-6
2000,0,5,0,-6
2100,0,5,0,-6
2200,0,4,0,24
2300,0,4,0,0
2400,0,4,0,-4
2500,0,5,0,-4
2600,0,5,0,-2
2700,0,5,0,-2
2800,0,5,0,-7
2900,0,5,0,-7
3000,0,2,0,28
3100,0,2,0,16
3200,0,2,0,16
3300,0,2,0,14
3400,0,2,0,16
3500,0,2,0,16
3600,0,2,0,20
3700,0,2,0,16
3800,0,2,0,14
3900,0,2,0,16
4000,0,2,0,20
4100,0,2,0,20
4200,0,2,0,20
4300,0,2,0,14
4400,0,2,0,20
4500,0,2,0,20
4600,0,2,0,16
4700,0,2,0,16
4800,0,2,0,16
4900,0,1,0,28
5000,0,1,0,22
5100,0,1,0,22
5200,0,1,0,22
5300,0,1,0,22
5400,0,1,0,22
5500,0,1,0,24
5600,0,1,0,26
5700,0,1,0,21
5800,0,1,0,22
5900,0,1,0,24
6000,0,1,0,22
6100,0,1,0,22
6200,0,1,0,22
6300,0,1,0,21
6400,0,1,0,21
6500,0,1,0,26
6600,0,1,0,22
6700,0,1,0,24
6800,0,1,0,22
6900,0,1,0,21
7000,0,1,0,21
7100,0,1,0,21
7200,0,1,0,22
7300,0,1,0,22
7400,0,1,0,21
7500,0,0,0,28
7600,0,0,0,28
7700,0,0,0,28
7800,0,0,0,28
7900,0,0,0,28
8000,0,0,0,28
8100,0,0,0,28
8200,0,0,0,28
8300,0,0,0,28
8400,0,0,0,28
8500,0,6,0,28
8600,0,6,0,16
8700,0,6,0,16
8800,0,5,0,52
8900,0,5,0,22
9000,0,5,0,22
9100,0,5,0,17
9200,0,5,0,17
9300,0,5,0,42
9400,0,5,0,22
9500,0,5,0,22
9600,0,5,0,42
9700,0,5,0,22
9800,0,5,0,22
9900,0,5,0,22
10000,0,5,0,22
10100,0,5,0,42
10200,0,5,0,22
10300,0,5,0,17
10400,0,5,0,22
10500,0,5,0,17
10600,0,5,0,22
10700,0,5,0,17
10800,0,5,0,22
10900,0,5,0,22
11000,0,5,0,17
11100,0,5,0,17
